EAN,CNP,brand,itemDescriptionEN,itemCapacity,bestSeller,stock,sales90d,sales180d,sales365d,salesnext90d_lastyear,stockAvgPrice,supplierPrice,isActive,bestbuyPrice(12M),bestbuyPrice_supplier(12M),bestbuyPrice_date(12M)
,6524454_pv,Lactacyd,Lactacyd Intimate Gel for Daily Hygiene,200,4,0,0,0,0,0,,"9,32",FALSE,,,
5600774155521,M-C-LC-refill,Musa Natural Cosmetics,Hibiscus Body Lotion,100,4,0,0,0,0,0,,"4,15",TRUE,,,
737052430546,99240014898,Escada,Especially Escada Eau de Parfum ,75,4,0,0,0,0,0,"56,91","66,3",TRUE,,,
3661467002470,,Novexpert,Magnesium Milky Cleanser Hydro-Biotic,150,4,2,0,0,4,1,"7,43","12,95",TRUE,"7,43","Emironas, UAB",2024-11-26 00:00:00
800897233747,K5437700,NYX Professional Make Up,Smooth Whip Matte Lip Cream,4,4,0,3,3,3,0,"5,55","7,4",FALSE,"5,55",LOreal MassMarket,2024-12-04 16:04:00
3349668630349,65200311,Paco Rabanne,Million Gold Eau de Parfum Intense,100,4,1,0,0,0,0,"67,05","68,09",TRUE,"67,05",Qogita EU,2024-12-04 17:33:00
9339341018704,,Kevin Murphy,HYDRATE-ME.WASH Moisture Shampoo,500,4,0,0,0,0,0,,"35,53",TRUE,,,
8809738310960,BOJ012,Beauty of Joseon,Ginseng Essence Water,150,2,30,45,153,272,68,"10,95","10,39",TRUE,"8,03",Cosibella,2025-04-09 17:53:00
3282770072655,6994137,Avene,Anti-Aging Facial Sun Care,50,2,48,65,122,180,32,"10,8","16,91",TRUE,"16,91",Pierre Fabre,2025-06-23 12:26:00
7612367022088,7981290,Medela,Breastmilk Bottle with Nipple Medium Flow,250,4,6,11,12,12,0,"5,01","6,04",TRUE,"5,01",Medela,2025-05-26 09:44:00
5060907053528,LOLA003,BPerfect,Supreme Velvet Liquid Lips,3,4,0,0,0,0,0,,"7,37",FALSE,,,
8029352356018,SE012,Sendo,Color Defense Color Protection Hair Mask,200,4,1,0,0,0,0,"5,92","6,94",TRUE,,,
8809875906811,20658,Celimax,Heart Pink Tone Up Sun Cream,40,4,0,0,0,0,0,,"9,8",TRUE,,,
641628602629,EL60262,Elemis,Gentle Rose Exfoliator ,50,4,1,1,1,1,0,"26,54","26,54",TRUE,"26,54",Qogita EU,2025-05-28 09:43:00
