Encomenda  177110;
2025-07-14;
n/ ref;qnt;qntBonus;v/ ref;ean;descri��o;
002115VY_01;338;0;6565465;3337871320324;Vichy: Desodorizante Antitranspirante 48H Pele Sensivel 50mL;
001957RP_02;223;0;7127290;3337875816847;La Roche Posay: Cicaplast Baume B5+ 100mL;
001957RP_01;94;0;7127282;3337875816809;La Roche Posay: Cicaplast Baume B5+ 40mL;
002113VY_01;90;0;6896613;3337871324001;Vichy: Stress Resist Antitranspirante Intensivo 72H 50mL;
002100VY_01;154;0;6534811;3337871320300;Vichy: Desodorizante Antitranspirante 48H Transpira��o Intensa 50mL;
007772VE_01;242;0;6031864;3337875597197;CeraVe: Gel Espuma de Limpeza para Rosto e Corpo Pele Normal a Oleosa 236mL;
009688RP_01;113;0;7103077;3337875797597;La Roche Posay: Anthelios UVmune 400 Fluido de Rosto 50mL SPF50+;
019342RP_01;64;0;7290213;3337872411991;La Roche Posay: Effaclar + M Gel Purificante 400mL;
001937RP_01;7;0;7103168;3337875777797;La Roche Posay: Effaclar H Isobiome Hidratante para Peles Oleosas Fragilizadas 40mL;
002476VY_01;130;0;6946947;3337871320362;Vichy: Homme Roll-On Antitranspirante 72H 50mL;
007778VE_02;168;0;6031948;3337875597395;CeraVe: Lo��o Hidratante para Rosto e Corpo Pele Seca a Muito Seca 473mL;
018812RP_01;4;0;7289496;3337875863377;La Roche Posay: Effaclar Duo [+] M 40mL No Color;
007777VE_02;224;0;6031997;3337875597388;CeraVe: Creme Hidratante de Rosto e Corpo Pele Seca a Muito Seca 454g;
007428RP_01;12;0;7103051;3337875797719;La Roche Posay: Anthelios Ultra UVmune 400 50mL No Color SPF50+;
015366VY_01;98;0;7111294;3337875804431;Vichy: Clinical Control 96H Antitranspirante 96H 50mL;
016806VE_01;144;0;7078840;3337875784054;CeraVe: Gel de Limpeza para Controlo de Imperfei��es 236mL;
002116VY_01;42;0;6917229;3337871324599;Vichy: Desodorizante Antitranspirante 48H Antimanchas 50mL;
007773VE_01;136;0;6031807;3337875597180;CeraVe: Creme Hidratante para Limpeza de Rosto e Corpo Pele Normal Seca 236mL;
011219VE_01;129;0;6323055;3337875684118;CeraVe: Cuidado de Limpeza Esfoliante com �cido Salic�lico 236mL;
011219VE_02;117;0;7087890;3337875795456;CeraVe: Cuidado de Limpeza Esfoliante com �cido Salic�lico 473mL;
017771RP_01;24;0;7260018;3337875847292;La Roche Posay: Anthelios UVmune 400 Oil-Control Fluido 50mL No Color SPF50+;
016808VE_01;132;0;7127498;3337875829007;CeraVe: Serum Retinol Antimarcas 30mL;
001963RP_02;70;0;6347104;3337875696548;La Roche Posay: Lipikar Baume AP+M B�lsamo Relipidante de Corpo Anti-Irrita��es 400mL;
